Name,College,Email,Badges,Streak,Progress,Rank,CompletionDate,LastActivity,TotalHours,ModulesCompleted
Aarav Kulkarni,WCE Sangli,aarav.kulkarni@wce.ac.in,20,11,100,1,2024-12-15,2024-12-15,45.5,5
Diya Patil,WCE Sangli,diya.patil@wce.ac.in,20,14,100,2,2024-12-14,2024-12-15,42.3,5
Arjun Deshmukh,WCE Sangli,arjun.deshmukh@wce.ac.in,19,12,95,3,2024-12-16,2024-12-15,38.7,4
Isha Jadhav,WCE Sangli,isha.jadhav@wce.ac.in,19,9,90,4,2024-12-17,2024-12-15,36.2,4
Vihaan Kale,WCE Sangli,vihaan.kale@wce.ac.in,18,10,90,5,2024-12-18,2024-12-15,34.8,4
Priya Sharma,WCE Sangli,priya.sharma@wce.ac.in,18,8,85,6,2024-12-19,2024-12-15,32.1,4
Rohan Patil,WCE Sangli,rohan.patil@wce.ac.in,17,7,80,7,2024-12-20,2024-12-15,29.6,3
Ananya Singh,WCE Sangli,ananya.singh@wce.ac.in,17,6,80,8,2024-12-21,2024-12-15,28.9,3
Karthik Reddy,WCE Sangli,karthik.reddy@wce.ac.in,16,5,75,9,2024-12-22,2024-12-15,26.4,3
Sneha Joshi,WCE Sangli,sneha.joshi@wce.ac.in,16,4,75,10,2024-12-23,2024-12-15,25.7,3
Rajesh Kumar,WCE Sangli,rajesh.kumar@wce.ac.in,15,3,70,11,2024-12-24,2024-12-15,23.2,3
Meera Desai,WCE Sangli,meera.desai@wce.ac.in,15,2,70,12,2024-12-25,2024-12-15,22.5,3
Akash Gupta,WCE Sangli,akash.gupta@wce.ac.in,14,1,65,13,2024-12-26,2024-12-15,20.8,2
Pooja Shah,WCE Sangli,pooja.shah@wce.ac.in,14,1,65,14,2024-12-27,2024-12-15,19.3,2
Vikram Singh,WCE Sangli,vikram.singh@wce.ac.in,13,1,60,15,2024-12-28,2024-12-15,17.6,2
Neha Agarwal,WCE Sangli,neha.agarwal@wce.ac.in,12,1,55,16,2024-12-29,2024-12-15,16.2,2
Rahul Verma,WCE Sangli,rahul.verma@wce.ac.in,11,1,50,17,2024-12-30,2024-12-15,14.7,2
Sakshi Tiwari,WCE Sangli,sakshi.tiwari@wce.ac.in,10,1,45,18,2024-12-31,2024-12-15,13.1,2
Ajay Mehta,WCE Sangli,ajay.mehta@wce.ac.in,9,1,40,19,2025-01-01,2024-12-15,11.8,1
Kavya Nair,WCE Sangli,kavya.nair@wce.ac.in,8,1,35,20,2025-01-02,2024-12-15,10.4,1
Rohit Sharma,WCE Sangli,rohit.sharma@wce.ac.in,7,1,30,21,2025-01-03,2024-12-15,9.2,1
Priyanka Patel,WCE Sangli,priyanka.patel@wce.ac.in,6,1,25,22,2025-01-04,2024-12-15,8.1,1
Suresh Kumar,WCE Sangli,suresh.kumar@wce.ac.in,5,1,20,23,2025-01-05,2024-12-15,7.3,1
Anita Singh,WCE Sangli,anita.singh@wce.ac.in,4,1,15,24,2025-01-06,2024-12-15,6.5,1
Manoj Tiwari,WCE Sangli,manoj.tiwari@wce.ac.in,3,1,10,25,2025-01-07,2024-12-15,5.8,1
